0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.0,0.01,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.31,0.0,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.08,0.01,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.15,0.01,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.01,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.04,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.04,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.0,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.35,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.15,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.27,0.03,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,1.0,0.02,0.17,0.55,0.25,0.09,0.46,0.08,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,attack
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.15,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.35,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.04,0.08,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.27,0.04,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.11,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.27,0.06,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.54,0.11,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.5,0.13,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.58,0.1,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.54,0.14,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.62,0.15,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.65,0.14,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.69,0.17,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,1.0,0.02,0.17,0.55,0.25,0.09,0.73,0.13,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.65,0.15,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.46,0.17,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.97,0.25,0.0,0.77,0.11,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.81,0.11,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.46,0.18,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.65,0.2,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.85,0.13,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.88,0.14,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.85,0.14,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.92,0.11,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.62,0.2,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.77,0.15,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.09,0.77,0.17,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.92,0.13,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.09,0.62,0.21,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.73,0.14,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.0,0.85,0.17,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,1.0,0.55,0.25,0.0,0.77,0.2,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.0,0.54,0.27,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.0,0.5,0.17,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.92,0.28,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.73,0.18,0.5,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.62,0.38,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.62,0.45,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,1.0,0.15,0.35,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.62,0.48,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.81,0.37,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.5,0.38,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.62,0.55,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.81,0.52,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8,0.57,0.27,0.14,0.31,0.83,0.59,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.19,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.15,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.23,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.0,0.0,0.0,0.0,0.31,0.01,0.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,attack
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.35,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.38,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.0,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.38,0.01,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.35,0.01,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.08,0.01,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.01,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.23,0.01,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.23,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.04,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.04,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.27,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.12,0.01,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.23,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.38,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.08,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,1.0,0.02,0.17,0.55,0.25,0.09,0.42,0.06,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,attack
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.35,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.12,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.38,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.15,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.19,0.03,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.15,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,1.0,0.02,0.17,0.55,0.25,0.09,0.46,0.08,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,attack
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.27,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,1.0,0.02,0.17,0.55,0.25,0.09,0.5,0.1,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,attack
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.12,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.04,0.08,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.19,0.04,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.11,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.19,0.06,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.54,0.11,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.5,0.13,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.54,0.14,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.58,0.15,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.46,0.14,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.62,0.17,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.46,0.15,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.65,0.17,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.42,0.11,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.65,0.18,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.46,0.2,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.69,0.13,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.69,0.14,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.73,0.11,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.58,0.2,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.73,0.13,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.09,0.58,0.21,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.77,0.14,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.0,0.62,0.25,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.0,0.69,0.17,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.0,0.54,0.27,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.83,0.55,0.25,0.0,0.5,0.17,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.73,0.28,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.77,0.18,0.5,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.58,0.38,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.01,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.58,0.45,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,1.0,0.15,0.35,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.01,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.58,0.48,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.02,0.0,0.02,0.0,0.0,1.0,0.0,0.42,0.37,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.03,0.0,0.03,0.0,0.0,1.0,0.0,0.5,0.38,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.42,0.52,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.0,0.0,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.88,0.87,1.0,0.0,1.0,0.57,0.15,0.0,0.32,0.67,0.48,normal
0.94,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.27,0.0,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.15,0.0,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.31,0.0,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.04,0.0,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.67,0.0,0.0,0.0,0.19,0.0,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.04,0.01,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.15,0.01,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.19,0.01,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.01,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.03,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.04,0.03,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.35,0.03,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.31,0.04,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.04,0.04,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.19,0.07,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.46,0.1,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.33,0.0,0.0,0.0,0.15,0.03,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.27,0.03,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.46,0.11,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.15,0.04,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.13,1.0,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.14,1.0,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.15,1.0,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.35,0.04,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.46,0.17,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.54,0.11,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.17,0.0,0.0,0.0,0.27,0.04,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.58,0.11,1.0,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.62,0.02,0.5,0.0,0.0,0.0,0.27,0.06,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.54,0.11,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.58,0.13,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.54,0.14,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.46,0.15,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.5,0.2,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.5,0.55,0.25,0.09,0.62,0.17,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.65,0.11,1.0,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.33,0.55,0.25,0.09,0.69,0.13,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
0.0,0.0,0.02,0.0,0.02,0.67,0.55,0.25,0.09,0.69,0.14,0.5,0.0,0.5,0.79,0.51,0.14,0.53,0.75,0.58,normal
